MSG_ID,MSG_VALUE,MSG_CATEGORY,MSG_STRING
0C4,F129FC0080FFFF,STEERING WHEEL,STEERING WHEEL TURN RIGHT
0C4,F129FC0080EEEE,STEERING WHEEL,STEERING WHEEL TURN LEFT
252,C1FF,WIPERS,On way up
252,C2FF,WIPERS,On Way down
252,C4FF,WIPERS,resting
242,01F1F0,CLIMATE,Air flow free from outside
242,01F1F1,CLIMATE,Air flow free from outside off
242,11F1F0,CLIMATE,Air flow filtered from outside
242,21F1F0,CLIMATE,Air flow circulating inside
1EE,01FF,INDICATOR LEVER,Indicator lever right
1EE,03FF,INDICATOR LEVER,Indicator lever left
1EE,08FF,INDICATOR LEVER,Indicator lever back to neutral
21A,0030FC,DASHBOARD,CONTROL OF LIGHTS HIGH BEAM
21A,0432FC,DASHBOARD,CONTROL OF LIGHTS LOW BEAM
21A,0532FC,DASHBOARD,CONTROL OF LIGHTS OFF
21A,0632FC,DASHBOARD,CONTROL OF LIGHTS AUTOMATIC
202,00FF,DIMMER,Dimmer minimum
202,EFFF,DIMMER,Dimmer maximum
21A,2532FC,FOG,FOG LAMP FRONT PRESS
21A,2532FD,FOG,FOG LAMP FRONT RELEASE
0DA,0000C0FF,SEAT,DRIVER SEAT MOVEMENT REST
0DA,0100C0FF,SEAT,DRIVER SEAT MOVEMENT FRONT
0DA,0200C0FF,SEAT,DRIVER SEAT MOVEMENT REAR
0DA,0400C0FF,SEAT,DRIVER SEAT MOVEMENT UP
0DA,0800C0FF,SEAT,DRIVER SEAT MOVEMENT DOWN
0DA,2000C0FF,SEAT,DRIVER SEAT TILT CLOCKWISE
0DA,1000C0FF,SEAT,DRIVER SEAT TILT COUNTERCLOCKWISE
1F6,80F0,HAZARD WARNING,HAZARD WARNING SIGNAL OFF
1F6,B1F2 ,HAZARD WARNING,HAZARD WARNING SIGNAL PRESS
38E,F401,ENGINE,engine start
20D,05032A3506,ENGINE,engine stop
0D4,10,GEAR,Gear 1
0D4,20,GEAR,Gear 2
0D4,30,GEAR,Gear 3
0D4,40,GEAR,Gear 4
0D4,50,GEAR,Gear 5
0D4,60,GEAR,Reverse
0D4,70,GEAR,Neutral
0B4,0,ACCELERATOR,At speed of 0kmph
0B4,10,ACCELERATOR,At speed of 10kmph
0B4,20,ACCELERATOR,At speed of 20kmph
0B4,30,ACCELERATOR,At speed of 30kmph
0B4,40,ACCELERATOR,At speed of 40kmph
0B4,50,ACCELERATOR,At speed of 50kmph
0B4,60,ACCELERATOR,At speed of 60kmph
0B4,70,ACCELERATOR,At speed of 70kmph
0B4,80,ACCELERATOR,At speed of 80kmph
0B4,90,ACCELERATOR,At speed of 90kmph
0B4,100,ACCELERATOR,At speed of 100kmph
0B4,110,ACCELERATOR,At speed of 110kmph
0B4,120,ACCELERATOR,At speed of 120kmph
0B4,130,ACCELERATOR,At speed of 130kmph
0B4,140,ACCELERATOR,At speed of 140kmph
0B4,150,ACCELERATOR,At speed of 150kmph
0B4,160,ACCELERATOR,At speed of 160kmph
0B4,170,ACCELERATOR,At speed of 170kmph
0B4,180,ACCELERATOR,At speed of 180kmph
0B4,190,ACCELERATOR,At speed of 190kmph
0B4,200,ACCELERATOR,At speed of 200kmph
0B4,210,ACCELERATOR,Accelerator released
0C5,5097,BRAKE,Brake press
0C5,5098,BRAKE,Brake release
398,40,AC,AC On
398,50,AC,AC Off
